[2023-04-20 20:39:26] Opened Log File logs/2023-04-20_20-39-26_log.txt
[2023-04-20 20:45:16] DATA: {'ph': -0.12, 'ec': 121.78, 'temp': 20.44, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:19] DATA: {'ph': -0.31, 'ec': 122.67, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:22] DATA: {'ph': -0.37, 'ec': 122.68, 'temp': 22.06, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:25] DATA: {'ph': -0.4, 'ec': 120.73, 'temp': 22.31, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:28] DATA: {'ph': -0.12, 'ec': 119.76, 'temp': 22.44, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:31] DATA: {'ph': 1.81, 'ec': 109.79, 'temp': 22.56, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:34] DATA: {'ph': 1.94, 'ec': 104.45, 'temp': 22.31, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:37] DATA: {'ph': 1.97, 'ec': 106.13, 'temp': 21.94, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:40] DATA: {'ph': 1.97, 'ec': 106.52, 'temp': 21.31, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:43] DATA: {'ph': 1.97, 'ec': 106.82, 'temp': 21.06, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:46] DATA: {'ph': 1.97, 'ec': 107.92, 'temp': 20.87, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:49] DATA: {'ph': 1.94, 'ec': 107.2, 'temp': 20.56, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:52] DATA: {'ph': 1.97, 'ec': 107.47, 'temp': 20.44, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:55] DATA: {'ph': 1.97, 'ec': 110.29, 'temp': 20.44, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:58] DATA: {'ph': 2.0, 'ec': 107.47, 'temp': 20.44, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:01] DATA: {'ph': 1.94, 'ec': 108.88, 'temp': 20.44, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:04] DATA: {'ph': 2.0, 'ec': 108.31, 'temp': 20.37, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:07] DATA: {'ph': 1.97, 'ec': 105.54, 'temp': 21.56, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:10] DATA: {'ph': 2.0, 'ec': 102.82, 'temp': 23.12, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:13] DATA: {'ph': 1.97, 'ec': 101.15, 'temp': 23.87, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:16] DATA: {'ph': 2.03, 'ec': 100.87, 'temp': 24.25, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:19] DATA: {'ph': 2.0, 'ec': 100.52, 'temp': 24.44, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:22] DATA: {'ph': 2.0, 'ec': 99.53, 'temp': 24.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:25] DATA: {'ph': 2.0, 'ec': 99.85, 'temp': 24.56, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:28] DATA: {'ph': 1.86, 'ec': 96.04, 'temp': 24.87, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:31] DATA: {'ph': 1.97, 'ec': 99.0, 'temp': 25.37, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:46:34] DATA: {'ph': 1.97, 'ec': 99.59, 'temp': 24.94, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
